name;link
Liga NOS;https://www.transfermarkt.com/primeira-liga/startseite/wettbewerb/PO1
premier liga;https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1
allsvenskan;https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
serie A;https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1
la liga;https://www.transfermarkt.com/primera-division/startseite/wettbewerb/ES1
bundesliga;https://www.transfermarkt.com/1-bundesliga/startseite/wettbewerb/L1
eredivisie;https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1
ligue 1;https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1
premier league;https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1
chinese super league;https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL
campeonato brasileirao serie a;https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1
superliga;https://www.transfermarkt.com/primera-division/startseite/wettbewerb/AR1N
primera division de chile;https://www.transfermarkt.com/primera-divison/startseite/wettbewerb/CLPD
liga postobon;https://www.transfermarkt.com/liga-postobon-i/startseite/wettbewerb/COLP
liga 1;https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA
liga pro;https://www.transfermarkt.com/ligapro-serie-a-primera-etapa/startseite/wettbewerb/EL1A
primera division;https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/URU1
primera division;https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A
torneo apertura;https://www.transfermarkt.com/liga-venezolana-apertura/startseite/wettbewerb/VZ1A
liga mx;https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA
mayor league soccer;https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1
